,Date,ROBINHOOD,CHASE CHECKING,CHASE SAVING,DISCOVER SAVING,CITI CHECKING,CITI SAVING,Cash,Stock,Bond,Sum,S/(S+B) ratio
0,2020-11-15,86467.82,2438.66,355.65,6365.38,10898.74,23482.73,49166.71,62797.62,18044.65,130008.98,0.78
1,2020-11-30,86462.03,2438.66,355.65,6365.38,10898.74,23482.73,45854.82,66103.72,18044.65,130003.19,0.79
2,2020-12-14,86439.2,2438.66,355.65,6365.38,10898.74,23482.73,43848.33,68087.38,18044.65,129980.36,0.79
