,Date,AIRBNB 852,AIRBNB 904,AMAZON,BURGER KING,CHEESE CAKE,COSTCO 1-1,COSTCO 1-2,COSTCO 2-1,COSTCO 3-1,COSTCO 3-2,FIRST WATCH 655,FIRST WATCH 705,GAMESTOP 382,HEB 1,KROGER 511,NETFLIX 1,NORDSTROM 2819,STARBUCKS,TARGET 292,TARGET 664,TARGET 668,TRADER JOES,TRADER JOES 1,TRADER JOES 2,UBER EATS,WHOLEFOOD 000351,WHOLEFOOD 01225,WHOLEFOOD 0157,WHOLEFOOD 020613,WHOLEFOOD 020899,WHOLEFOOD 7367
21,2020-11-23,50.0,50.0,200.0,10.0,25.0,50.0,60.0,300.0,300.0,300.0,25.0,25.0,50.0,100.0,100.0,50.0,15.61,67.73,50.0,50.0,50.0,10.16,50.0,50.0,44.4,100.0,50.0,34.44,50.0,75.0,50.0
22,2020-11-24,50.0,50.0,200.0,10.0,25.0,50.0,60.0,300.0,300.0,300.0,25.0,25.0,50.0,100.0,100.0,50.0,15.61,67.73,50.0,50.0,50.0,10.16,50.0,50.0,44.4,100.0,50.0,34.44,50.0,75.0,50.0
23,2020-11-27,50.0,50.0,200.0,10.0,25.0,50.0,60.0,300.0,300.0,300.0,25.0,25.0,50.0,100.0,100.0,50.0,15.61,67.73,50.0,50.0,50.0,10.16,50.0,50.0,44.4,100.0,50.0,34.44,50.0,75.0,50.0
24,2020-11-29,50.0,50.0,200.0,10.0,25.0,50.0,60.0,300.0,300.0,300.0,25.0,25.0,50.0,100.0,100.0,50.0,15.61,67.73,50.0,50.0,50.0,10.16,50.0,50.0,44.4,100.0,50.0,34.44,50.0,75.0,50.0
25,2020-11-30,50.0,50.0,200.0,10.0,25.0,50.0,60.0,300.0,300.0,300.0,25.0,25.0,50.0,100.0,100.0,50.0,15.61,67.73,50.0,50.0,50.0,10.16,50.0,50.0,44.4,100.0,50.0,34.44,50.0,75.0,50.0
26,2020-12-05,50.0,50.0,200.0,10.0,25.0,50.0,60.0,300.0,300.0,300.0,25.0,25.0,50.0,100.0,100.0,50.0,15.61,67.73,50.0,50.0,50.0,10.16,50.0,50.0,44.4,100.0,50.0,34.44,50.0,75.0,50.0
27,2020-12-07,50.0,50.0,200.0,10.0,25.0,50.0,60.0,300.0,300.0,300.0,25.0,25.0,50.0,100.0,100.0,50.0,15.61,67.73,50.0,50.0,50.0,10.16,50.0,50.0,44.4,100.0,50.0,34.44,50.0,75.0,50.0
28,2020-12-10,50.0,50.0,200.0,10.0,25.0,50.0,60.0,300.0,300.0,300.0,25.0,25.0,50.0,100.0,100.0,50.0,15.61,67.73,50.0,50.0,50.0,10.16,50.0,50.0,44.4,100.0,50.0,34.44,50.0,75.0,50.0
29,2020-12-12,50.0,50.0,200.0,10.0,25.0,50.0,60.0,300.0,300.0,300.0,25.0,25.0,50.0,100.0,100.0,50.0,15.61,67.73,50.0,50.0,50.0,10.16,50.0,50.0,44.4,100.0,50.0,34.44,50.0,75.0,50.0
30,2020-12-18,50.0,50.0,200.0,10.0,25.0,50.0,60.0,300.0,300.0,300.0,25.0,25.0,50.0,100.0,100.0,50.0,15.61,67.73,50.0,50.0,50.0,10.16,50.0,50.0,44.4,100.0,50.0,34.44,50.0,75.0,50.0
31,2020-12-21,50.0,50.0,200.0,10.0,25.0,50.0,60.0,300.0,300.0,300.0,25.0,25.0,50.0,100.0,100.0,50.0,15.61,67.73,50.0,50.0,50.0,10.16,50.0,50.0,44.4,100.0,50.0,34.44,50.0,75.0,50.0
32,2020-12-26,50.0,50.0,200.0,10.0,25.0,50.0,60.0,300.0,300.0,300.0,25.0,25.0,50.0,100.0,100.0,50.0,15.61,67.73,50.0,50.0,50.0,10.16,50.0,50.0,44.4,100.0,50.0,34.44,50.0,75.0,50.0
33,2020-12-28,50.0,50.0,200.0,10.0,25.0,50.0,60.0,300.0,300.0,300.0,25.0,25.0,50.0,100.0,100.0,50.0,15.61,67.73,50.0,50.0,50.0,10.16,50.0,50.0,44.4,100.0,50.0,34.44,50.0,75.0,50.0
34,2021-01-01,50.0,50.0,200.0,10.0,25.0,50.0,60.0,300.0,300.0,300.0,25.0,25.0,50.0,100.0,100.0,50.0,15.61,67.73,50.0,50.0,50.0,10.16,50.0,50.0,44.4,100.0,50.0,34.44,50.0,75.0,50.0
35,2021-01-04,50.0,50.0,200.0,10.0,25.0,50.0,60.0,300.0,300.0,300.0,25.0,25.0,50.0,100.0,100.0,50.0,15.61,67.73,50.0,50.0,50.0,10.16,50.0,50.0,44.4,100.0,50.0,34.44,50.0,75.0,50.0
37,2021-01-05,50.0,50.0,200.0,10.0,25.0,50.0,60.0,300.0,300.0,300.0,25.0,25.0,50.0,100.0,100.0,50.0,15.61,67.73,50.0,50.0,50.0,10.16,50.0,50.0,44.4,100.0,50.0,34.44,50.0,75.0,50.0
